OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
06/29/2022,01:00,16090.42,11883.75,5861.14,12981.65,46816.96,N
06/29/2022,02:00,15039.27,11242.12,5777.17,12360.54,44419.10,N
06/29/2022,03:00,14245.39,10778.31,5705.91,11897.82,42627.43,N
06/29/2022,04:00,13706.93,10477.85,5659.92,11693.52,41538.23,N
06/29/2022,05:00,13598.83,10403.63,5660.19,11648.29,41310.94,N
06/29/2022,06:00,13879.00,10595.02,5675.84,11890.74,42040.61,N
06/29/2022,07:00,14336.61,10966.51,5920.34,12053.44,43276.90,N
06/29/2022,08:00,14918.19,11252.66,5900.46,12259.22,44330.54,N
06/29/2022,09:00,15881.35,11943.21,5892.91,12859.35,46576.82,N
06/29/2022,10:00,17295.64,12933.23,6056.39,13845.72,50130.99,N
06/29/2022,11:00,18788.82,13983.43,6258.96,14948.52,53979.73,N
06/29/2022,12:00,20298.85,15189.74,6468.44,15986.55,57943.58,N
06/29/2022,13:00,21684.90,16322.03,6693.08,16941.05,61641.06,N
06/29/2022,14:00,23128.63,17266.48,6886.05,17692.96,64974.12,N
06/29/2022,15:00,24205.94,18028.17,7071.11,18117.14,67422.36,N
06/29/2022,16:00,25030.66,18532.34,7238.09,18293.94,69095.03,N
06/29/2022,17:00,25622.28,18869.35,7359.92,18187.45,70039.00,N
06/29/2022,18:00,25755.59,19023.04,7366.26,17806.04,69950.93,N
06/29/2022,19:00,25430.87,18797.53,7286.76,17127.94,68643.10,N
06/29/2022,20:00,24550.00,18366.14,7158.16,16314.45,66388.74,N
06/29/2022,21:00,23125.63,17572.64,6960.84,15839.38,63498.49,N
06/29/2022,22:00,21927.55,16935.55,6891.60,15421.86,61176.56,N
06/29/2022,23:00,20295.83,15730.75,6654.60,14704.11,57385.28,N
06/29/2022,24:00,18462.31,14518.25,6461.70,13887.39,53329.65,N
06/28/2022,01:00,17615.84,12421.93,6228.07,12413.91,48679.75,N
06/28/2022,02:00,16410.74,11752.75,6056.81,11922.23,46142.53,N
06/28/2022,03:00,15817.47,11340.52,5934.37,11595.35,44687.72,N
06/28/2022,04:00,15119.36,11000.46,5864.80,11500.13,43484.75,N
06/28/2022,05:00,14857.16,10948.09,5838.57,11535.62,43179.44,N
06/28/2022,06:00,15069.40,11156.02,5877.22,11838.39,43941.03,N
06/28/2022,07:00,15427.80,11502.89,5992.89,12176.27,45099.86,N
06/28/2022,08:00,15916.57,11812.74,6020.57,12536.59,46286.47,N
06/28/2022,09:00,16704.82,12369.57,5951.21,13273.93,48299.53,N
06/28/2022,10:00,17623.96,13167.99,6052.02,14158.01,51001.97,N
06/28/2022,11:00,18688.76,14205.77,6168.81,15186.62,54249.97,N
06/28/2022,12:00,19811.26,15298.55,6294.09,16185.02,57588.92,N
06/28/2022,13:00,20907.89,16289.90,6569.29,17119.51,60886.58,N
06/28/2022,14:00,21970.83,17047.96,6768.64,17725.69,63513.12,N
06/28/2022,15:00,22868.93,17551.62,6915.47,18131.18,65467.21,N
06/28/2022,16:00,23531.13,17514.14,6993.75,18300.58,66339.60,N
06/28/2022,17:00,23903.20,17393.67,7011.49,18298.51,66606.86,N
06/28/2022,18:00,23947.01,16820.95,6985.68,18134.53,65888.18,N
06/28/2022,19:00,23655.45,16360.05,6957.36,17636.98,64609.84,N
06/28/2022,20:00,22854.11,15691.55,6846.85,17028.63,62421.14,N
06/28/2022,21:00,21655.74,15009.69,6678.85,16336.54,59680.82,N
06/28/2022,22:00,20725.39,14615.24,6534.79,15759.93,57635.35,N
06/28/2022,23:00,19218.58,13728.96,6305.50,14778.99,54032.03,N
06/28/2022,24:00,17494.52,12756.57,6064.12,13797.89,50113.10,N
06/27/2022,01:00,19285.59,14339.01,6411.16,14283.71,54319.46,N
06/27/2022,02:00,17811.27,13426.34,6277.10,13597.01,51111.73,N
06/27/2022,03:00,16658.71,12688.51,6128.12,13141.83,48617.18,N
06/27/2022,04:00,15692.82,12187.64,6028.39,12860.03,46768.89,N
06/27/2022,05:00,15394.38,11950.51,5972.08,12799.62,46116.59,N
06/27/2022,06:00,15489.50,11982.20,5960.24,12992.97,46424.92,N
06/27/2022,07:00,15776.89,12208.29,6077.21,13167.77,47230.16,N
06/27/2022,08:00,16069.14,12468.51,5970.12,13376.84,47884.60,N
06/27/2022,09:00,16907.40,13202.14,6035.55,14014.95,50160.04,N
06/27/2022,10:00,18120.64,14350.96,6140.24,15049.05,53660.89,N
06/27/2022,11:00,19702.99,15643.40,6335.07,16302.31,57983.76,N
06/27/2022,12:00,21219.40,16960.33,6531.33,17483.19,62194.24,N
06/27/2022,13:00,22828.52,18241.54,6668.53,18567.76,66306.36,N
