DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,GEN_CenterWest,COP_HSL_CenterWest,STPPF_CenterWest,PVGRPP_CenterWest,GEN_NorthWest,COP_HSL_NorthWest,STPPF_NorthWest,PVGRPP_NorthWest,GEN_FarWest,COP_HSL_FarWest,STPPF_FarWest,PVGRPP_FarWest,GEN_FarEast,COP_HSL_FarEast,STPPF_FarEast,PVGRPP_FarEast,GEN_SouthEast,COP_HSL_SouthEast,STPPF_SouthEast,PVGRPP_SouthEast,GEN_CenterEast,COP_HSL_CenterEast,STPPF_CenterEast,PVGRPP_CenterEast,SYSTEM_WIDE_HSL,DSTFlag
11/29/2025,01,0.62,0,0,0,0.01,0,0,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0.26,0,0,0,1.45,N
11/29/2025,02,0.57,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.23,0,0,0,0,0,0,0,0.24,0,0,0,1.3,N
11/29/2025,02,0.57,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.23,0,0,0,0,0,0,0,0.24,0,0,0,1.3,N
11/29/2025,03,0.49,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.24,0,0,0,0,0,0,0,0.15,0,0,0,1.34,N
11/29/2025,03,0.49,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.24,0,0,0,0,0,0,0,0.15,0,0,0,1.34,N
11/29/2025,03,0.49,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.24,0,0,0,0,0,0,0,0.15,0,0,0,1.34,N
11/29/2025,04,0.44,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.24,0,0,0,0,0,0,0,0.1,0,0,0,1.43,N
11/29/2025,04,0.44,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.24,0,0,0,0,0,0,0,0.1,0,0,0,1.43,N
11/29/2025,04,0.44,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.24,0,0,0,0,0,0,0,0.1,0,0,0,1.43,N
11/29/2025,04,0.44,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.24,0,0,0,0,0,0,0,0.1,0,0,0,1.43,N
11/29/2025,05,0.53,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.27,0,0,0,0,0,0,0,0.16,0,0,0,1.25,N
11/29/2025,05,0.53,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.27,0,0,0,0,0,0,0,0.16,0,0,0,1.25,N
11/29/2025,05,0.53,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.27,0,0,0,0,0,0,0,0.16,0,0,0,1.25,N
11/29/2025,05,0.53,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.27,0,0,0,0,0,0,0,0.16,0,0,0,1.25,N
11/29/2025,05,0.53,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.27,0,0,0,0,0,0,0,0.16,0,0,0,1.25,N
11/29/2025,06,0.64,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.38,0,0,0,0,0,0,0,0.16,0,0,0,1.45,N
11/29/2025,06,0.64,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.38,0,0,0,0,0,0,0,0.16,0,0,0,1.45,N
11/29/2025,06,0.64,0,0,0,0.01,0,0,0,0,0,0,0,0.09,0,0,0,0.38,0,0,0,0,0,0,0,0.16,0,0,0,1.45,N
