datetime,station_code,station_name,city,region,temp_f,humidity_pct,dew_point_f,feels_like_f,precip_in,rain_in,snow_in,cloud_cover_pct,wind_speed_mph,wind_dir_deg,wind_gust_mph,pressure_hpa,wmo_code,visibility_mi,condition
2025-12-01 00:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,44.8,54,29.3,36.9,0.0,0.0,0.0,100,8.6,15,17.2,1006.6,3,,Overcast
2025-12-01 01:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,44.2,57,30.0,36.5,0.0,0.0,0.0,100,8.4,16,16.8,1005.6,3,,Overcast
2025-12-01 02:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,43.6,61,30.9,36.2,0.0,0.0,0.0,100,8.1,11,16.6,1005.3,3,,Overcast
2025-12-01 03:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,42.8,66,32.2,35.6,0.0,0.0,0.0,100,8.1,18,17.2,1004.5,3,,Overcast
2025-12-01 04:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,42.6,68,32.8,36.2,0.0,0.0,0.0,100,6.4,24,16.1,1004.3,3,,Overcast
2025-12-01 05:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,42.5,69,33.2,35.9,0.0,0.0,0.0,100,7.1,20,14.5,1003.6,3,,Overcast
2025-12-01 06:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,41.8,75,34.3,35.9,0.0,0.0,0.0,100,5.7,3,14.5,1003.8,3,,Overcast
2025-12-01 07:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,41.6,80,35.8,35.9,0.012,0.012,0.0,100,5.9,10,11.9,1003.7,51,,Light drizzle
2025-12-01 08:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,42.0,80,36.4,36.5,0.004,0.004,0.0,100,5.8,13,11.9,1003.8,51,,Light drizzle
2025-12-01 09:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,43.1,76,35.9,37.9,0.0,0.0,0.0,100,4.7,10,12.1,1003.8,3,,Overcast
2025-12-01 10:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,44.0,75,36.6,38.7,0.0,0.0,0.0,100,5.2,356,11.4,1003.5,3,,Overcast
2025-12-01 11:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,44.9,76,37.8,40.2,0.004,0.004,0.0,100,4.3,10,12.3,1002.9,51,,Light drizzle
2025-12-01 12:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,42.6,85,38.4,37.9,0.008,0.008,0.0,100,4.7,4,10.5,1001.8,51,,Light drizzle
2025-12-01 13:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,43.8,83,39.1,38.7,0.008,0.008,0.0,100,5.9,7,12.1,1000.8,51,,Light drizzle
2025-12-01 14:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,45.0,80,39.4,39.5,0.004,0.004,0.0,100,7.2,357,14.8,1000.1,51,,Light drizzle
2025-12-01 15:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,46.6,76,39.4,41.0,0.0,0.0,0.0,100,7.2,351,15.2,999.8,3,,Overcast
2025-12-01 16:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,46.2,76,39.0,41.0,0.0,0.0,0.0,100,6.2,12,15.0,999.6,3,,Overcast
2025-12-01 17:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,46.0,76,38.8,40.7,0.0,0.0,0.0,100,6.5,16,13.0,999.8,3,,Overcast
2025-12-01 18:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,43.6,83,38.8,37.0,0.0,0.0,0.0,100,9.3,2,13.2,1000.8,3,,Overcast
2025-12-01 19:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,43.6,82,38.4,36.8,0.0,0.0,0.0,99,9.6,1,18.6,1001.6,3,,Overcast
2025-12-01 20:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,42.8,82,37.8,35.8,0.0,0.0,0.0,100,9.8,359,18.8,1002.0,3,,Overcast
2025-12-01 21:00:00,KAUS,Austin-Bergstrom Intl,Austin,Austin,42.3,81,37.0,35.2,0.0,0.0,0.0,98,9.8,359,18.3,1002.6,3,,Overcast
