datetime,station_code,station_name,city,region,temp_f,humidity_pct,dew_point_f,feels_like_f,precip_in,rain_in,snow_in,cloud_cover_pct,wind_speed_mph,wind_dir_deg,wind_gust_mph,pressure_hpa,wmo_code,visibility_mi,condition
2025-12-01 00:00:00,KIAH,Houston Intercontinental,Houston,Houston,46.7,79,40.5,42.0,0.004,0.004,0.0,100,5.7,28,13.2,1020.2,51,,Light drizzle
2025-12-01 01:00:00,KIAH,Houston Intercontinental,Houston,Houston,46.6,80,40.6,42.0,0.0,0.0,0.0,100,5.5,18,12.5,1020.1,3,,Overcast
2025-12-01 02:00:00,KIAH,Houston Intercontinental,Houston,Houston,46.5,80,40.6,41.6,0.004,0.004,0.0,100,6.1,26,13.2,1019.6,51,,Light drizzle
2025-12-01 03:00:00,KIAH,Houston Intercontinental,Houston,Houston,46.3,81,40.9,41.3,0.004,0.004,0.0,100,6.7,25,14.1,1019.2,51,,Light drizzle
2025-12-01 04:00:00,KIAH,Houston Intercontinental,Houston,Houston,46.2,82,40.9,41.0,0.0,0.0,0.0,100,7.1,37,15.2,1018.5,3,,Overcast
2025-12-01 05:00:00,KIAH,Houston Intercontinental,Houston,Houston,46.0,86,41.9,41.7,0.024,0.024,0.0,100,5.4,40,15.2,1018.1,53,,Moderate drizzle
2025-12-01 06:00:00,KIAH,Houston Intercontinental,Houston,Houston,44.2,93,42.4,40.8,0.012,0.012,0.0,100,3.6,43,11.4,1017.5,51,,Light drizzle
2025-12-01 07:00:00,KIAH,Houston Intercontinental,Houston,Houston,44.4,95,43.2,40.1,0.028,0.028,0.0,100,6.0,51,12.3,1017.6,53,,Moderate drizzle
2025-12-01 08:00:00,KIAH,Houston Intercontinental,Houston,Houston,45.0,96,43.8,41.1,0.043,0.043,0.0,100,5.4,50,12.8,1017.5,55,,Dense drizzle
2025-12-01 09:00:00,KIAH,Houston Intercontinental,Houston,Houston,45.8,95,44.5,42.4,0.059,0.059,0.0,100,4.6,23,12.5,1017.9,61,,Slight rain
2025-12-01 10:00:00,KIAH,Houston Intercontinental,Houston,Houston,47.5,92,45.1,44.0,0.063,0.063,0.0,100,5.3,32,13.9,1017.6,61,,Slight rain
2025-12-01 11:00:00,KIAH,Houston Intercontinental,Houston,Houston,48.8,89,45.9,45.5,0.012,0.012,0.0,100,5.3,24,12.5,1016.7,51,,Light drizzle
